"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Fiscal Year Type","Base Year","Value","Value Footnotes"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2023","1000","Euro","2008","Western calendar year","2015","21314660000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2023","1000","Euro","2008","Western calendar year","2015","737491230000",""
"Germany","2.5","Industries","Manufacturing","C","2023","1000","Euro","2008","Western calendar year","2015","663855170000",""
"Germany","2.5","Industries","Construction","F","2023","1000","Euro","2008","Western calendar year","2015","117050350000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2023","1000","Euro","2008","Western calendar year","2015","452802700000",""
"Germany","2.5","Industries","Information and communication","J","2023","1000","Euro","2008","Western calendar year","2015","177009240000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2023","1000","Euro","2008","Western calendar year","2015","124489310000",""
"Germany","2.5","Industries","Real estate activities","L","2023","1000","Euro","2008","Western calendar year","2015","313262660000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2023","1000","Euro","2008","Western calendar year","2015","347082560000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2023","1000","Euro","2008","Western calendar year","2015","544924840000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2023","1000","Euro","2008","Western calendar year","2015","105664210000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2023","1000","Euro","2008","Western calendar year","2015","2937876190000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2023","1000","Euro","2008","Western calendar year","2015","329892000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2023","1000","Euro","2008","Western calendar year","2015","324219000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2023","1000","Euro","2008","Western calendar year","2015","2690000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2023","1000","Euro","2008","Western calendar year","2015","3268577020000","1"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2022","1000","Euro","2008","Western calendar year","2015","21043230000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2022","1000","Euro","2008","Western calendar year","2015","748549430000",""
