"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2022","100","EC dollar","1993","2006","44800000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2022","100","EC dollar","1993","2006","42600000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2022","100","EC dollar","1993","2006","27300000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2022","100","EC dollar","1993","2006","107800000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2022","100","EC dollar","1993","2006","158000000",""
"Antigua and Barbuda","2.2","Industries","Construction","F","2022","100","EC dollar","1993","2006","576200000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2022","100","EC dollar","1993","2006","1191600000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2022","100","EC dollar","1993","2006","699900000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2022","100","EC dollar","1993","2006","491700000",""
"Antigua and Barbuda","2.2","Industries","Transport, storage and communications","I","2022","100","EC dollar","1993","2006","334500000",""
"Antigua and Barbuda","2.2","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2022","100","EC dollar","1993","2006","192200000",""
"Antigua and Barbuda","2.2","Industries","Post and telecommunications","64","2022","100","EC dollar","1993","2006","142300000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation, real estate, renting and business activities","J+K","2022","100","EC dollar","1993","2006","490100000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation","J","2022","100","EC dollar","1993","2006","254200000",""
"Antigua and Barbuda","2.2","Industries","Real estate, renting and business activities","K","2022","100","EC dollar","1993","2006","235900000",""
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2022","100","EC dollar","1993","2006","27500000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2022","100","EC dollar","1993","2006","451700000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2022","100","EC dollar","1993","2006","191700000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2022","100","EC dollar","1993","2006","236400000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2022","100","EC dollar","1993","2006","23600000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2022","100","EC dollar","1993","2006","6870000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2022","100","EC dollar","1993","2006","3937890000",""
"Antigua and Barbuda","2.2","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2022","100","EC dollar","1993","2006","48670000",""
"Antigua and Barbuda","2.2","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2022","100","EC dollar","1993","2006","537700000",""
"Antigua and Barbuda","2.2","Industries","Less: Subsidies on products","D.31","2022","100","EC dollar","1993","2006","29980000",""
"Antigua and Barbuda","2.2","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2022","100","EC dollar","1993","2006","4445610000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2021","100","EC dollar","1993","2006","55020000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry","A","2021","100","EC dollar","1993","2006","23500000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting and related service activities","01","2021","100","EC dollar","1993","2006","22580000",""
"Antigua and Barbuda","2.2","Industries","Forestry, logging and related service activities","02","2021","100","EC dollar","1993","2006","920000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2021","100","EC dollar","1993","2006","31520000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2021","100","EC dollar","1993","2006","38830000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2021","100","EC dollar","1993","2006","508200000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2021","100","EC dollar","1993","2006","118360000",""
"Antigua and Barbuda","2.2","Industries","Construction","F","2021","100","EC dollar","1993","2006","394130000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2021","100","EC dollar","1993","2006","609260000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2021","100","EC dollar","1993","2006","343240000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2021","100","EC dollar","1993","2006","266020000",""
