"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Value","Value Footnotes"
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1973","10","EC dollar                               ","1968","6700000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1973","10","EC dollar                               ","1968","700000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1973","10","EC dollar                               ","1968","10100000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1973","10","EC dollar                               ","1968","1100000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1973","10","EC dollar                               ","1968","9000000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1973","10","EC dollar                               ","1968","19600000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1973","10","EC dollar                               ","1968","17000000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1973","10","EC dollar                               ","1968","20700000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1973","10","EC dollar                               ","1968","14300000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1973","10","EC dollar                               ","1968","4800000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1973","10","EC dollar                               ","1968","104000000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1973","10","EC dollar                               ","1968","4100000",""
"Antigua and Barbuda","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","1973","10","EC dollar                               ","1968","99900000",""
"Antigua and Barbuda","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","1974","10","EC dollar                               ","1968","7800000",""
"Antigua and Barbuda","2.1","Industries","Mining and quarrying","C","1974","10","EC dollar                               ","1968","800000",""
"Antigua and Barbuda","2.1","Industries","Manufacturing","D","1974","10","EC dollar                               ","1968","9900000",""
"Antigua and Barbuda","2.1","Industries","Electricity, gas and water supply","E","1974","10","EC dollar                               ","1968","1400000",""
"Antigua and Barbuda","2.1","Industries","Construction","F","1974","10","EC dollar                               ","1968","8900000",""
"Antigua and Barbuda","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","1974","10","EC dollar                               ","1968","21100000",""
"Antigua and Barbuda","2.1","Industries","Transport, storage and communications","I","1974","10","EC dollar                               ","1968","18400000",""
"Antigua and Barbuda","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","1974","10","EC dollar                               ","1968","22800000",""
"Antigua and Barbuda","2.1","Industries","Public administration and defence; compulsory social security","L","1974","10","EC dollar                               ","1968","18000000",""
"Antigua and Barbuda","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","1974","10","EC dollar                               ","1968","6500000",""
"Antigua and Barbuda","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","1974","10","EC dollar                               ","1968","115400000","1"
"Antigua and Barbuda","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","1974","10","EC dollar                               ","1968","3800000",""
