"Country","Year","percent_gdp","percent_net_exports","percent_consumption","percent_government","percent_investment","component_sum"
"Germany","1990",NA,NA,NA,NA,NA,NA
"Germany","1991",1,0.018723420505399865,0.48757577903687055,0.11219144607819702,0.3428330308793916,0.961323676499859
"Germany","1992",1,-0.28654440038653806,0.8181229905763098,0.511290341400763,0.016530365084094466,1.059399296674629
"Germany","1993",1,-0.08967187044816866,-0.14794388638248626,-0.19172257379655053,1.5242320521908266,1.0948937215636212
"Germany","1994",1,-0.007601472218969142,0.345021199259781,0.2461730170491631,0.42101761009173966,1.0046103541817146
"Germany","1995",1,0.007549257968780985,0.4772835340978881,0.29401321313433065,0.22309214582066558,1.0019381510216654
"Germany","1996",1,0.3391253140331477,0.9074826982991363,0.4943071296650914,-0.8147708344971093,0.9261443075002661
"Germany","1997",1,0.3402116772278529,0.2863208962118704,0.12820721201285318,0.21032200087352182,0.9650617863260984
"Germany","1998",1,-0.13708532300937698,0.40399248478513256,0.25026107660741276,0.5174768530952915,1.0346450914784597
"Germany","1999",1,-0.3620955151944122,0.8563823077991997,0.24386624081802993,0.3098047320903253,1.0479577655131425
"Germany","2000",1,0.24845683584589787,0.4416571289325565,0.13354294691452623,0.14443595936744852,0.9680928710604291
"Germany","2001",1,0.7616979956163525,0.3473195347080315,0.04104654364789711,-0.24842707515679635,0.9016369988154849
"Germany","2002",1,-8.181616136200144,1.382186244150231,-1.1116306302269108,10.310239677492598,2.3991791552157746
"Germany","2003",1,1.3833235756501627,-0.7981823079626418,-0.2250097507163681,0.5043823060393265,0.8645138230104794
"Germany","2004",1,1.2417106686769133,0.3079283050954053,-0.08937908904414774,-0.6046119649230096,0.8556479198051612
"Germany","2005",1,0.5093590032835015,0.5813018994663532,0.11892416471394354,-0.2681825835796938,0.9414024838841044
"Germany","2006",1,0.25116624155986206,0.21045856057388734,0.05957189838639377,0.4871915160367701,1.0083882165569134
"Germany","2007",1,0.44298481744580354,-0.02762264496026283,0.11739652829362282,0.4655835955380156,0.9983422963171791
"Germany","2008",1,0.07331849242832422,0.04046260500414921,0.745886425245848,0.15093625681393832,1.0106037794922598
"Germany","2009",1,0.43005343183796274,-0.035286410134186263,-0.09996473079051563,0.7125784988614768,1.0073807897747378
"Germany","2010",1,0.27742322052713747,0.07835695680345578,0.07786863483323309,0.5670485690160109,1.0006973811798372
"Germany","2011",1,0.2231686408176395,0.17151455428033993,0.05172843035744072,0.5626956586490022,1.0091072841044222
"Germany","2012",1,2.4379730977810845,1.2575146851655845,0.5150224627919991,-3.3851799859857947,0.8253302597528736
"Germany","2013",1,-1.018853760416719,0.10883134823289159,0.8067029205672284,1.2388622983283593,1.1355428067117601
"Germany","2014",1,0.27499596922711117,0.2480166925011325,0.16040108288158794,0.3269214485294813,1.010335193139313
"Germany","2015",1,0.12131037906046285,0.7409844450312759,0.3369769092864994,-0.1836795597073543,1.015592173670884
"Germany","2016",1,-0.20455091618793697,0.5206861089228381,0.34234697391359736,0.33970555561646437,0.9981877222649628
"Germany","2017",1,0.11076281561787803,0.29665800667307185,0.11733853956887466,0.4718344574145535,0.9965938192743781
"Germany","2018",1,-0.6578490878835438,0.6661490860043109,0.1814116915614234,0.7861828079891384,0.975894497671329
"Germany","2019",1,-0.494107207539697,0.890497249895964,0.584535714304134,0.0062763623030791605,0.9872021189634801
"Germany","2020",1,0.2576955300238131,0.8779982147542467,-0.24216524080614985,0.11894010486743889,1.0124686088393489
"Germany","2021",1,0.22815085577338098,0.3251563095418119,0.20442317352699066,0.2337432457424227,0.9914735845846063
"Germany","2022",1,-0.9945287499545143,2.086415151935547,0.02169123771728881,-0.09767964771814559,1.0158979919801756
"Germany","2023",1,-0.456310689598983,0.7405631693614141,0.11786255766932231,0.5944496423812629,0.9965646798130163
