Country Name,year,percent_gdp,percent_net_exports,percent_consumption,percent_government,percent_investment,component_sum
Antigua and Barbuda,1991,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1992,1,NA,NA,NA,NA,NA
Antigua and Barbuda,1993,1,NA,NA,NA,NA,NA
Antigua and Barbuda,1994,1,NA,NA,NA,NA,NA
Antigua and Barbuda,1995,1,NA,NA,NA,NA,NA
Antigua and Barbuda,1996,1,NA,NA,NA,NA,NA
Antigua and Barbuda,1997,1,NA,NA,NA,NA,NA
Antigua and Barbuda,1998,1,NA,NA,NA,NA,NA
Antigua and Barbuda,1999,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2000,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2001,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2002,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2003,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2004,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2005,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2006,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2007,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2008,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2009,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2010,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2011,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2012,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2013,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2014,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2015,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2016,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2017,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2018,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2019,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2020,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2021,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2022,1,NA,NA,NA,NA,NA
Antigua and Barbuda,2023,1,NA,NA,NA,NA,NA
"Bahamas, The",1991,1,0.23453753009995595,0.6440782870457495,-0.13139793760385415,0.13475583615123038,0.8819737156930818
"Bahamas, The",1992,1,-0.40130788313455273,0.8112072079536405,0.14961072505473216,-0.0038339230163040978,0.5556761268575159
"Bahamas, The",1993,1,5.133515214314368,-0.6154136401493845,-0.9053299848228672,-9.507177123624091,-5.894405534281974
"Bahamas, The",1994,1,-0.6680420491594431,0.4248432675477427,0.46265150562393276,0.6854404742505974,0.9048931982628295
"Bahamas, The",1995,1,0.014565091328105515,1.0092247493843605,-0.16150324089743823,0.31814918113392215,1.1804357809489499
"Bahamas, The",1996,1,-0.34177299021480545,0.9473554930920787,0.16264483978368127,0.4486134981948753,1.2168408408558298
"Bahamas, The",1997,1,-13.188837880423206,4.615770045873472,5.349052575969051,4.46591159556546,1.2418963369847766
"Bahamas, The",1998,1,-1.0985125140969143,1.6910800642477304,-0.04725675647150429,1.1838307505144698,1.7291415441937814
