Economy_Label,1995_Concentration_Index_Value,1995_Concentration_Index_Footnote,1995_Concentration_Index_MissingValue,1996_Concentration_Index_Value,1996_Concentration_Index_Footnote,1996_Concentration_Index_MissingValue,1997_Concentration_Index_Value,1997_Concentration_Index_Footnote,1997_Concentration_Index_MissingValue,1998_Concentration_Index_Value,1998_Concentration_Index_Footnote,1998_Concentration_Index_MissingValue,1999_Concentration_Index_Value,1999_Concentration_Index_Footnote,1999_Concentration_Index_MissingValue,2000_Concentration_Index_Value,2000_Concentration_Index_Footnote,2000_Concentration_Index_MissingValue,2001_Concentration_Index_Value,2001_Concentration_Index_Footnote,2001_Concentration_Index_MissingValue,2002_Concentration_Index_Value,2002_Concentration_Index_Footnote,2002_Concentration_Index_MissingValue,2003_Concentration_Index_Value,2003_Concentration_Index_Footnote,2003_Concentration_Index_MissingValue,2004_Concentration_Index_Value,2004_Concentration_Index_Footnote,2004_Concentration_Index_MissingValue,2005_Concentration_Index_Value,2005_Concentration_Index_Footnote,2005_Concentration_Index_MissingValue,2006_Concentration_Index_Value,2006_Concentration_Index_Footnote,2006_Concentration_Index_MissingValue,2007_Concentration_Index_Value,2007_Concentration_Index_Footnote,2007_Concentration_Index_MissingValue,2008_Concentration_Index_Value,2008_Concentration_Index_Footnote,2008_Concentration_Index_MissingValue,2009_Concentration_Index_Value,2009_Concentration_Index_Footnote,2009_Concentration_Index_MissingValue,2010_Concentration_Index_Value,2010_Concentration_Index_Footnote,2010_Concentration_Index_MissingValue,2011_Concentration_Index_Value,2011_Concentration_Index_Footnote,2011_Concentration_Index_MissingValue,2012_Concentration_Index_Value,2012_Concentration_Index_Footnote,2012_Concentration_Index_MissingValue,2013_Concentration_Index_Value,2013_Concentration_Index_Footnote,2013_Concentration_Index_MissingValue,2014_Concentration_Index_Value,2014_Concentration_Index_Footnote,2014_Concentration_Index_MissingValue,2015_Concentration_Index_Value,2015_Concentration_Index_Footnote,2015_Concentration_Index_MissingValue,2016_Concentration_Index_Value,2016_Concentration_Index_Footnote,2016_Concentration_Index_MissingValue,2017_Concentration_Index_Value,2017_Concentration_Index_Footnote,2017_Concentration_Index_MissingValue,2018_Concentration_Index_Value,2018_Concentration_Index_Footnote,2018_Concentration_Index_MissingValue,2019_Concentration_Index_Value,2019_Concentration_Index_Footnote,2019_Concentration_Index_MissingValue,2020_Concentration_Index_Value,2020_Concentration_Index_Footnote,2020_Concentration_Index_MissingValue,2021_Concentration_Index_Value,2021_Concentration_Index_Footnote,2021_Concentration_Index_MissingValue,2022_Concentration_Index_Value,2022_Concentration_Index_Footnote,2022_Concentration_Index_MissingValue,2023_Concentration_Index_Value,2023_Concentration_Index_Footnote,2023_Concentration_Index_MissingValue,2024_Concentration_Index_Value,2024_Concentration_Index_Footnote,2024_Concentration_Index_MissingValue
"American Samoa",0.429,"Estimated",,0.429,"Estimated",,0.435,"Estimated",,0.426,"Estimated",,0.432,"Estimated",,0.209,"Estimated",,0.286,"Estimated",,0.462,"Estimated",,0.417,"Estimated",,0.221,"Estimated",,0.236,"Estimated",,0.734,"Estimated",,0.305,"Estimated",,0.493,"Estimated",,0.168,"Estimated",,0.254,"Estimated",,0.274,"Estimated",,0.394,"Estimated",,0.316,"Estimated",,0.328,"Estimated",,0.333,"Estimated",,0.327,"Estimated",,0.236,"Estimated",,0.386,"Estimated",,0.392,"Estimated",,0.539,"Estimated",,0.393,"Estimated",,0.372,"Estimated",,0.295,"Estimated",,0.505,"Estimated",
"Antigua and Barbuda",0.309,"Estimated",,0.49,"Estimated",,0.49,"Estimated",,0.161,"Estimated",,0.148,"Estimated",,0.389,"Estimated",,0.464,"Estimated",,0.541,"Estimated",,0.669,"Estimated",,0.526,"Estimated",,0.704,"Estimated",,0.746,"Estimated",,0.599,"Estimated",,0.438,"Estimated",,0.312,"Estimated",,0.137,"Estimated",,0.7,"Estimated",,0.426,"Estimated",,0.534,"Estimated",,0.595,"Estimated",,0.575,"Estimated",,0.644,"Estimated",,0.516,"Estimated",,0.594,"Estimated",,0.66,"Estimated",,0.663,"Estimated",,0.673,"Estimated",,0.42,"Estimated",,0.468,"Estimated",,0.559,"Estimated",
"Aruba",0.927,"Estimated",,0.909,"Estimated",,0.913,"Estimated",,0.828,"Estimated",,0.811,"Estimated",,0.817,"Estimated",,0.793,"Estimated",,0.803,"Estimated",,0.82,"Estimated",,0.862,"Estimated",,0.899,"Estimated",,0.893,"Estimated",,0.889,"Estimated",,0.907,"Estimated",,0.794,"Estimated",,0.392,"Estimated",,0.811,"Estimated",,0.629,"Estimated",,0.512,"Estimated",,0.471,"Estimated",,0.403,"Estimated",,0.402,"Estimated",,0.341,"Estimated",,0.205,"Estimated",,0.368,"Estimated",,0.437,"Estimated",,0.363,"Estimated",,0.269,"Estimated",,0.253,"Estimated",,0.179,"Estimated",
"Bahamas",0.342,"Estimated",,0.282,"Estimated",,0.371,"Estimated",,0.254,"Estimated",,0.375,"Estimated",,0.32,"Estimated",,0.311,"Estimated",,0.356,"Estimated",,0.31,"Estimated",,0.376,"Estimated",,0.459,"Estimated",,0.46,"Estimated",,0.379,"Estimated",,0.388,"Estimated",,0.528,"Estimated",,0.543,"Estimated",,0.589,"Estimated",,0.436,"Estimated",,0.521,"Estimated",,0.557,"Estimated",,0.596,"Estimated",,0.418,"Estimated",,0.401,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.462,"Estimated",,0.35,"Estimated",,0.336,"Estimated",,0.398,"Estimated",,0.426,"Estimated",,0.5,"Estimated",,0.505,"Estimated",
"Barbados",0.172,"Estimated",,0.171,"Estimated",,0.179,"Estimated",,0.155,"Estimated",,0.139,"Estimated",,0.176,"Estimated",,0.281,"Estimated",,0.222,"Estimated",,0.381,"Estimated",,0.352,"Estimated",,0.375,"Estimated",,0.266,"Estimated",,0.17,"Estimated",,0.204,"Estimated",,0.15,"Estimated",,0.126,"Estimated",,0.262,"Estimated",,0.139,"Estimated",,0.168,"Estimated",,0.19,"Estimated",,0.152,"Estimated",,0.178,"Estimated",,0.153,"Estimated",,0.153,"Estimated",,0.174,"Estimated",,0.198,"Estimated",,0.188,"Estimated",,0.178,"Estimated",,0.197,"Estimated",,0.19,"Estimated",
"Belize",0.318,"Estimated",,0.321,"Estimated",,0.326,"Estimated",,0.316,"Estimated",,0.287,"Estimated",,0.281,"Estimated",,0.301,"Estimated",,0.331,"Estimated",,0.315,"Estimated",,0.319,"Estimated",,0.304,"Estimated",,0.276,"Estimated",,0.273,"Estimated",,0.323,"Estimated",,0.16,"Estimated",,0.336,"Estimated",,0.332,"Estimated",,0.277,"Estimated",,0.25,"Estimated",,0.225,"Estimated",,0.276,"Estimated",,0.321,"Estimated",,0.325,"Estimated",,0.268,"Estimated",,0.289,"Estimated",,0.322,"Estimated",,0.279,"Estimated",,0.282,"Estimated",,0.339,"Estimated",,0.321,"Estimated",
"Bermuda",0.435,"Estimated",,0.545,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.531,"Estimated",,0.483,"Estimated",,0.72,"Estimated",,0.399,"Estimated",,0.719,"Estimated",,0.803,"Estimated",,0.338,"Estimated",,0.832,"Estimated",,0.625,"Estimated",,0.626,"Estimated",,0.366,"Estimated",,0.82,"Estimated",,0.328,"Estimated",,0.721,"Estimated",,0.628,"Estimated",,0.473,"Estimated",,0.693,"Estimated",,0.376,"Estimated",,0.61,"Estimated",,0.638,"Estimated",,0.44,"Estimated",,0.446,"Estimated",,0.8,"Estimated",,0.545,"Estimated",,0.604,"Estimated",,0.448,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.444,"Estimated",,0.724,"Estimated",
"Cabo Verde",0.369,,,0.335,,,0.376,"Estimated",,0.429,"Estimated",,0.322,"Estimated",,0.35,"Estimated",,0.299,"Estimated",,0.271,"Estimated",,0.24,"Estimated",,0.28,"Estimated",,0.423,"Estimated",,0.478,"Estimated",,0.35,"Estimated",,0.296,,,0.284,"Estimated",,0.358,"Estimated",,0.349,"Estimated",,0.291,"Estimated",,0.467,"Estimated",,0.522,"Estimated",,0.496,"Estimated",,0.36,"Estimated",,0.386,"Estimated",,0.528,"Estimated",,0.369,"Estimated",,0.459,"Estimated",,0.277,"Estimated",,0.379,"Estimated",,0.422,"Estimated",,0.374,,
"Comoros",0.626,"Estimated",,0.39,"Estimated",,0.533,"Estimated",,0.504,"Estimated",,0.615,"Estimated",,0.74,"Estimated",,0.872,"Estimated",,0.863,"Estimated",,0.874,"Estimated",,0.818,"Estimated",,0.481,"Estimated",,0.572,"Estimated",,0.643,"Estimated",,0.415,"Estimated",,0.506,"Estimated",,0.518,"Estimated",,0.652,"Estimated",,0.542,"Estimated",,0.605,"Estimated",,0.582,"Estimated",,0.573,"Estimated",,0.644,"Estimated",,0.684,"Estimated",,0.676,"Estimated",,0.513,"Estimated",,0.587,"Estimated",,0.498,"Estimated",,0.494,,,0.497,"Estimated",,0.495,"Estimated",
"Cuba",0.557,"Estimated",,0.558,"Estimated",,0.453,"Estimated",,0.416,"Estimated",,0.384,"Estimated",,0.339,"Estimated",,0.387,"Estimated",,0.379,"Estimated",,0.325,"Estimated",,0.326,"Estimated",,0.371,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.398,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.336,"Estimated",,0.297,"Estimated",,0.288,"Estimated",,0.3,"Estimated",,0.28,"Estimated",,0.272,"Estimated",,0.263,"Estimated",,0.263,"Estimated",,0.266,"Estimated",,0.282,"Estimated",,0.397,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.415,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.265,"Estimated",,0.283,"Estimated",,0.297,"Estimated",,0.333,"Estimated. More than 30% of total trade under ""931: Special transactions & commodities not classified""",,0.285,"Estimated",,0.278,"Estimated",
