"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Value","Value Footnotes"
"Antigua and Barbuda","2.4","Industries","Agriculture, forestry and fishing","A","2011","1000","EC dollar","2008","56600000",""
"Antigua and Barbuda","2.4","Industries","Crop and animal production, hunting and related service activities","01","2011","1000","EC dollar","2008","16700000",""
"Antigua and Barbuda","2.4","Industries","Forestry and logging","02","2011","1000","EC dollar","2008","10490000",""
"Antigua and Barbuda","2.4","Industries","Fishing and aquaculture","03","2011","1000","EC dollar","2008","29500000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2011","1000","EC dollar","2008","250400000",""
"Antigua and Barbuda","2.4","Industries","Mining and quarrying","B","2011","1000","EC dollar","2008","22800000",""
"Antigua and Barbuda","2.4","Industries","Manufacturing","C","2011","1000","EC dollar","2008","100700000",""
"Antigua and Barbuda","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2011","1000","EC dollar","2008","112800000",""
"Antigua and Barbuda","2.4","Industries","Water supply; sewerage, waste management and remediation activities","E","2011","1000","EC dollar","2008","14100000",""
"Antigua and Barbuda","2.4","Industries","Construction","F","2011","1000","EC dollar","2008","249600000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2011","1000","EC dollar","2008","1267200000",""
"Antigua and Barbuda","2.4","Industries","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2011","1000","EC dollar","2008","594900000",""
"Antigua and Barbuda","2.4","Industries","Transportation and storage","H","2011","1000","EC dollar","2008","307800000",""
"Antigua and Barbuda","2.4","Industries","Accommodation and food service activities","I","2011","1000","EC dollar","2008","364500000",""
"Antigua and Barbuda","2.4","Industries","Information and communication","J","2011","1000","EC dollar","2008","80400000",""
"Antigua and Barbuda","2.4","Industries","Financial and insurance activities","K","2011","1000","EC dollar","2008","332700000",""
"Antigua and Barbuda","2.4","Industries","Real estate activities","L","2011","1000","EC dollar","2008","207400000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2011","1000","EC dollar","2008","65200000",""
"Antigua and Barbuda","2.4","Industries","Professional, scientific and technical activities","M","2011","1000","EC dollar","2008","38500000",""
"Antigua and Barbuda","2.4","Industries","Administrative and support service activities","N","2011","1000","EC dollar","2008","26700000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2011","1000","EC dollar","2008","523200000",""
"Antigua and Barbuda","2.4","Industries","Public administration and defence; compulsory social security","O","2011","1000","EC dollar","2008","244700000",""
"Antigua and Barbuda","2.4","Industries","Education","P","2011","1000","EC dollar","2008","131500000",""
"Antigua and Barbuda","2.4","Industries","Human health and social work activities","Q","2011","1000","EC dollar","2008","147000000",""
